Date,Dividends
2016-10-26,0.022116
2017-02-02,0.057524
2012-04-23,0.034172
2008-04-28,0.035785
2018-09-13,0.070855
2021-05-11,0.0563
2011-04-06,0.036027
2008-01-28,0.034524
2012-01-25,0.033977
2008-10-28,0.038888
2012-10-23,0.034465
2017-05-02,0.019145
2009-08-17,0.018941
2012-07-23,0.017574
2008-07-28,0.037724
2015-10-28,0.077789
2016-05-11,0.041985
2020-11-17,0.0574
2007-01-24,0.031033
2011-01-21,0.032122
2005-09-30,0.029384
2020-02-07,0.035033
2011-10-21,0.033001
2021-02-09,0.01678
2020-07-30,0.072623
2016-08-05,0.056684
2007-10-29,0.034039
2011-07-22,0.027435
2007-07-27,0.032681
2012-05-09,0.016891
2007-04-26,0.032003
2010-04-23,0.026654
2014-10-29,0.071273
2019-05-07,0.079611
2006-01-23,0.028027
2010-01-22,0.031927
2018-10-31,0.006245
2014-04-25,0.03466
2006-07-21,0.029966
2006-10-26,0.030645
2010-10-22,0.032219
2015-04-29,0.070004
2013-03-14,0.026361
2019-11-08,0.078019
2010-07-22,0.032903
2006-04-24,0.028317
2013-04-19,0.003612
2009-04-27,0.024409
2009-01-21,0.039542
2017-11-03,0.07924
2013-01-21,0.035344
2014-01-23,0.034367
2018-04-27,0.077012
2013-10-22,0.035148
2009-10-27,0.015036
2009-07-27,0.035344
2013-07-22,0.03466
2015-12-15,0.029876
