,Adj cost,Adj cost per share,Open date,Qty,Security,Symbol,Type,Date Snapshot
7,3287.4,54.79,2014-01-06,47.0,FACEBOOK INC CL A,FB,Buy,2019-12-13
8,697.32,53.64,2014-01-29,13.0,FACEBOOK INC CL A,FB,Buy,2019-12-13
9,1049.07,61.71,2014-04-23,17.0,FACEBOOK INC CL A,FB,Buy,2019-12-13
10,315.44,78.86,2014-12-31,4.0,FACEBOOK INC CL A,FB,Buy,2019-12-13
0,3203.7,106.79,2015-08-26,30.0,APPLE INC,AAPL,Buy,2019-12-13
2,1563.48,390.87,2014-01-06,4.0,AMAZON COM INC,AMZN,Buy,2019-12-13
3,2762.15,920.72,2017-04-27,3.0,AMAZON COM INC,AMZN,Buy,2019-12-13
13,1784.99,17.85,2014-01-06,100.0,CORNING INC,GLW,Buy,2019-12-13
14,1109.16,554.58,2014-01-06,2.0,ALPHABET INC-CL C,GOOG,Buy,2019-12-13
15,1115.77,557.89,2014-01-06,2.0,ALPHABET INC-CL A,GOOGL,Buy,2019-12-13
19,909.1,90.91,2016-06-30,10.0,NETFLIX INC,NFLX,Buy,2019-12-13
23,2858.24,204.16,2014-02-18,14.0,TESLA INC,TSLA,Buy,2019-12-13
24,3100.08,258.34,2014-09-16,12.0,TESLA INC,TSLA,Buy,2019-12-13
